IncidntNum,Category,Descript,DayOfWeek,Date,Time,PdDistrict,Resolution,Address,X,Y,Location,PdId
160007502,NON-CRIMINAL,"DEATH REPORT, NATURAL CAUSES",Sunday,01-03-16 00:00,19:45,INGLESIDE,NONE,100 Block of AMBER DR,-94.44468548,39.74419275,"(39.7441927508932, -94.444685482273)",1.60008E+13
160148877,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Friday,02/19/2016 12:00:00 AM,16:39,SOUTHERN,NONE,1300 Block of MISSION ST,-94.41575704,39.77546928,"(39.7754692820041, -94.415757039196)",1.60149E+13
160009956,ROBBERY,ROBBERY OF A CHAIN STORE WITH BODILY FORCE,Monday,01-04-16 00:00,17:50,TARAVAL,"ARREST, BOOKED",3200 Block of 20TH AV,-94.47564746,39.72852806,"(39.7285280627465, -94.475647460786)",1.6001E+13
160010323,OTHER OFFENSES,VIOLATION OF RESTRAINING ORDER,Monday,01-04-16 00:00,20:15,INGLESIDE,NONE,0 Block of VIRGINIA AV,-94.42096744,39.74285174,"(39.7428517394449, -94.420967440564)",1.6001E+13
160010486,VANDALISM,"MALICIOUS MISCHIEF, BREAKING WINDOWS",Monday,01-04-16 00:00,21:20,TENDERLOIN,NONE,100 Block of HYDE ST,-94.41566966,39.78211985,"(39.7821198488931, -94.415669661443)",1.6001E+13
160010492,ASSAULT,THREATS AGAINST LIFE,Sunday,01-03-16 00:00,21:30,SOUTHERN,NONE,200 Block of 6TH ST,-94.40634643,39.77916742,"(39.7791674218963, -94.406346425632)",1.6001E+13
160010505,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,01-04-16 00:00,19:40,MISSION,NONE,2300 Block of 16TH ST,-94.40952991,39.76571844,"(39.7657184395282, -94.409529913278)",1.60011E+13
160010511,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Monday,01-04-16 00:00,21:45,SOUTHERN,NONE,800 Block of BRYANT ST,-94.40340479,39.77542071,"(39.775420706711, -94.403404791479)",1.60011E+13
160010527,BURGLARY,"BURGLARY,STORE UNDER CONSTRUCTION, FORCIBLE ENTRY",Monday,01-04-16 00:00,20:08,MISSION,NONE,1500 Block of BRYANT ST,-94.4107381,39.76752431,"(39.767524308783, -94.410738097315)",1.60011E+13
160010527,ARSON,ARSON OF A COMMERCIAL BUILDING,Monday,01-04-16 00:00,20:08,MISSION,NONE,1500 Block of BRYANT ST,-94.4107381,39.76752431,"(39.767524308783, -94.410738097315)",1.60011E+13
140927099,BURGLARY,"BURGLARY OF RESIDENCE, FORCIBLE ENTRY",Wednesday,10/26/2016 12:00:00 AM,19:39,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-94.44431403,39.71310834,"(39.7131083433264, -94.444314025188)",1.40927E+13
140927099,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,10/26/2016 12:00:00 AM,19:39,INGLESIDE,"ARREST, BOOKED",5400 Block of MISSION ST,-94.44431403,39.71310834,"(39.7131083433264, -94.444314025188)",1.40927E+13
141000705,MISSING PERSON,MISSING ADULT,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-94.40364462,39.76601601,"(39.7660160114103, -94.403644620439)",1.41001E+13
141000705,MISSING PERSON,FOUND PERSON,Tuesday,08/30/2016 12:00:00 AM,12:29,SOUTHERN,NONE,KANSAS ST / 16TH ST,-94.40364462,39.76601601,"(39.7660160114103, -94.403644620439)",1.41001E+13
160010878,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Monday,01-04-16 00:00,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-94.4147143,39.77623104,"(39.7762310404758, -94.414714295579)",1.60011E+13
160010878,MISSING PERSON,FOUND PERSON,Monday,01-04-16 00:00,23:00,SOUTHERN,NONE,9TH ST / MISSION ST,-94.4147143,39.77623104,"(39.7762310404758, -94.414714295579)",1.60011E+13
160010890,VEHICLE THEFT,STOLEN TRUCK,Tuesday,01-05-16 00:00,05:25,NORTHERN,NONE,HAYES ST / POLK ST,-94.41804545,39.77751189,"(39.7775118895695, -94.418045452768)",1.60011E+13
160010975,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01-05-16 00:00,07:43,SOUTHERN,"ARREST, CITED",4TH ST / FOLSOM ST,-94.40116156,39.78202385,"(39.7820238478975, -94.401161555602)",1.60011E+13
160011014,WARRANTS,WARRANT ARREST,Tuesday,01-05-16 00:00,02:28,BAYVIEW,"ARREST, BOOKED",2700 Block of SAN BRUNO AV,-94.40340867,39.72700532,"(39.72700531963, -94.403408669191)",1.60011E+13
160011177,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Monday,01-04-16 00:00,08:00,TENDERLOIN,NONE,300 Block of EDDY ST,-94.41293052,39.78383444,"(39.7838344394141, -94.412930522059)",1.60011E+13
160011183,NON-CRIMINAL,TARASOFF REPORT,Tuesday,01-05-16 00:00,09:45,MISSION,NONE,2700 Block of MISSION ST,-94.41858717,39.75301865,"(39.7530186539446, -94.418587172219)",1.60011E+13
141066456,FRAUD,FALSE ID TO PEACE OFFICER,Thursday,07-07-16 00:00,23:08,SOUTHERN,"ARREST, BOOKED",10TH ST / HOWARD ST,-94.41439063,39.77404184,"(39.7740418385041, -94.414390627495)",1.41066E+13
160011860,ASSAULT,AGGRAVATED ASSAULT WITH BODILY FORCE,Tuesday,01-05-16 00:00,14:06,CENTRAL,NONE,200 Block of KEARNY ST,-94.40391568,39.79053899,"(39.790538993925, -94.403915681571)",1.60012E+13
160012006,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01-05-16 00:00,15:15,NORTHERN,"ARREST, BOOKED",POLK ST / EDDY ST,-94.4191831,39.78309982,"(39.7830998244592, -94.419183096362)",1.60012E+13
160012012,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01-05-16 00:00,15:14,BAYVIEW,"ARREST, BOOKED",4000 Block of 3RD ST,-94.38875305,39.74073605,"(39.7407360548358, -94.388753046997)",1.60012E+13
160012028,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01-05-16 00:00,14:00,PARK,NONE,DIVISADERO ST / HAYES ST,-94.4397997,39.77499129,"(39.7749912944366, -94.439799703468)",1.60012E+13
160012034,MISSING PERSON,MISSING ADULT,Tuesday,01-05-16 00:00,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-94.42133268,39.77709027,"(39.7770902743669, -94.421332684633)",1.60012E+13
160012034,MISSING PERSON,FOUND PERSON,Tuesday,01-05-16 00:00,08:55,NORTHERN,NONE,HAYES ST / FRANKLIN ST,-94.42133268,39.77709027,"(39.7770902743669, -94.421332684633)",1.60012E+13
160012040,WARRANTS,WARRANT ARREST,Tuesday,01-05-16 00:00,14:00,PARK,"ARREST, BOOKED",2600 Block of GEARY BL,-94.44661298,39.78224582,"(39.7822458223917, -94.446612978839)",1.60012E+13
160012266,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Tuesday,01-05-16 00:00,16:10,BAYVIEW,NONE,SAN BRUNO AV / FELTON ST,-94.40459414,39.73004,"(39.7300399995128, -94.404594140634)",1.60012E+13
160012307,NON-CRIMINAL,PROPERTY FOR IDENTIFICATION,Tuesday,01-05-16 00:00,16:00,CENTRAL,NONE,100 Block of CLAY ST,-94.39739394,39.79533383,"(39.7953338267436, -94.397393940066)",1.60012E+13
160012313,WARRANTS,WARRANT ARREST,Tuesday,01-05-16 00:00,16:22,CENTRAL,"ARREST, BOOKED",200 Block of GEARY ST,-94.40743499,39.78751587,"(39.7875158741623, -94.407434989523)",1.60012E+13
160012329,PROSTITUTION,SOLICITS LEWD ACT,Tuesday,01-05-16 00:00,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-94.40346408,39.7785234,"(39.7785233976032, -94.403464080033)",1.60012E+13
160012329,OTHER OFFENSES,INDECENT EXPOSURE,Tuesday,01-05-16 00:00,16:30,SOUTHERN,"ARREST, BOOKED",200 Block of CLARA ST,-94.40346408,39.7785234,"(39.7785233976032, -94.403464080033)",1.60012E+13
160012692,NON-CRIMINAL,"DEATH REPORT, CAUSE UNKNOWN",Tuesday,01-05-16 00:00,15:30,PARK,NONE,1000 Block of OAK ST,-94.43661418,39.77329181,"(39.773291806903, -94.436614181331)",1.60013E+13
160012711,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,01-05-16 00:00,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-94.39684902,39.78052758,"(39.780527578509, -94.396849015172)",1.60013E+13
160012711,WARRANTS,ENROUTE TO OUTSIDE JURISDICTION,Tuesday,01-05-16 00:00,18:04,SOUTHERN,"ARREST, BOOKED",BRYANT ST / ZOE ST,-94.39684902,39.78052758,"(39.780527578509, -94.396849015172)",1.60013E+13
160013361,LARCENY/THEFT,ATTEMPTED THEFT FROM LOCKED VEHICLE,Tuesday,01-05-16 00:00,19:30,INGLESIDE,NONE,300 Block of JUDSON AV,-94.45000079,39.72841807,"(39.7284180706602, -94.450000790445)",1.60013E+13
160013397,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01-05-16 00:00,23:22,BAYVIEW,"ARREST, BOOKED",PHELPS ST / CARROLL AV,-94.40083428,39.72921146,"(39.7292114647359, -94.400834283031)",1.60013E+13
160013383,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01-05-16 00:00,20:40,SOUTHERN,NONE,MISSION ST / 2ND ST,-94.39980215,39.78800653,"(39.7880065324392, -94.399802145799)",1.60013E+13
160013399,SECONDARY CODES,JUVENILE INVOLVED,Tuesday,01-05-16 00:00,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-94.39492848,39.72397482,"(39.7239748241609, -94.3949284758)",1.60013E+13
160013399,SUSPICIOUS OCC,INVESTIGATIVE DETENTION,Tuesday,01-05-16 00:00,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-94.39492848,39.72397482,"(39.7239748241609, -94.3949284758)",1.60013E+13
160013399,OTHER OFFENSES,TRAFFIC VIOLATION,Tuesday,01-05-16 00:00,23:15,BAYVIEW,"ARREST, BOOKED",3RD ST / EGBERT AV,-94.39492848,39.72397482,"(39.7239748241609, -94.3949284758)",1.60013E+13
160013402,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Tuesday,01-05-16 00:00,20:30,CENTRAL,NONE,600 Block of TAYLOR ST,-94.41185703,39.78832354,"(39.7883235449904, -94.41185703254)",1.60013E+13
160013418,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,01-05-16 00:00,23:30,MISSION,"ARREST, BOOKED",22ND ST / BRYANT ST,-94.40943562,39.75599773,"(39.7559977339856, -94.409435617106)",1.60013E+13
160189188,NON-CRIMINAL,LOST PROPERTY,Wednesday,03-02-16 00:00,15:00,NORTHERN,NONE,1500 Block of SUTTER ST,-94.42588336,39.78707981,"(39.7870798144443, -94.425883358148)",1.60189E+13
160013903,NON-CRIMINAL,"LICENSE PLATE, RECOVERED",Tuesday,01-05-16 00:00,19:45,INGLESIDE,NONE,200 Block of OGDEN AV,-94.41512654,39.73603945,"(39.7360394466862, -94.415126543001)",1.60014E+13
160013919,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Wednesday,01-06-16 00:00,09:00,INGLESIDE,"ARREST, BOOKED",GENEVA AV / PRAGUE ST,-94.43192801,39.71276788,"(39.712767884821, -94.431928011089)",1.60014E+13
160013925,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,01-06-16 00:00,08:10,CENTRAL,"ARREST, BOOKED",0 Block of MONTGOMERY ST,-94.40216391,39.78957103,"(39.7895710255863, -94.402163913618)",1.60014E+13
160013822,OTHER OFFENSES,TRAFFIC VIOLATION ARREST,Wednesday,01-06-16 00:00,09:21,INGLESIDE,"ARREST, BOOKED",MISSION ST / TRUMBULL ST,-94.42930673,39.73074292,"(39.7307429169559, -94.429306728396)",1.60014E+13
160013872,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Tuesday,01-05-16 00:00,23:59,TENDERLOIN,NONE,300 Block of EDDY ST,-94.41399097,39.78383656,"(39.7838365565348, -94.413990972781)",1.60014E+13
